n,r_{n-2},r_{n-1},r_n,delta_n
2,2.994904813477495,3.0429985995336795,3.043238647543281,200.3506970794692
3,3.0429985995336795,3.043238647543281,3.0437187435624846,0.499999999999075
4,3.043238647543281,3.0437187435624846,3.043958791572087,1.9999999999963
